obj_id,subj,trial,syll,series,raw_f0,condition,unique,demeaned_f0
111_25,111,25,pER,0,249.4011831214641,negsub,105_08_1,54.823231762329016
111_25,111,25,pER,1,251.68182369270713,negsub,105_08_1,57.10387233357204
111_25,111,25,pER,2,254.38012379838668,negsub,105_08_1,59.80217243925159
111_25,111,25,pER,3,256.7017448869102,negsub,105_08_1,62.12379352777512
111_25,111,25,pER,4,257.8668172442145,negsub,105_08_1,63.28886588507939
111_25,111,25,pER,5,258.0684445483648,negsub,105_08_1,63.49049318922974
111_25,111,25,pER,6,258.3780144924428,negsub,105_08_1,63.8000631333077
111_25,111,25,pER,7,259.52618908702556,negsub,105_08_1,64.94823772789047
111_25,111,25,pER,8,261.8936398028821,negsub,105_08_1,67.315688443747
111_25,111,25,pER,9,265.3546460230957,negsub,105_08_1,70.77669466396063
111_25,111,25,sOn,10,270.8694836439766,negsub,105_08_2,76.29153228484151
111_25,111,25,sOn,11,281.7745389278736,negsub,105_08_2,87.19658756873852
111_25,111,25,sOn,12,293.2086629552873,negsub,105_08_2,98.63071159615222
111_25,111,25,sOn,13,303.936310120561,negsub,105_08_2,109.35835876142593
111_25,111,25,sOn,14,306.46599047136783,negsub,105_08_2,111.88803911223275
111_25,111,25,sOn,15,295.0292211351565,negsub,105_08_2,100.4512697760214
111_25,111,25,sOn,16,278.8046218251022,negsub,105_08_2,84.22667046596709
111_25,111,25,sOn,17,263.141147203512,negsub,105_08_2,68.5631958443769
111_25,111,25,sOn,18,248.79783433798008,negsub,105_08_2,54.21988297884499
111_25,111,25,sOn,19,232.69402774924626,negsub,105_08_2,38.116076390111175
111_25,111,25,nEm,30,212.26247299094805,negsub,105_08_4,17.68452163181297
111_25,111,25,nEm,31,199.4941180579199,negsub,105_08_4,4.916166698784821
111_25,111,25,nEm,32,189.25576115298696,negsub,105_08_4,-5.322190206148122
111_25,111,25,nEm,33,184.1176639617419,negsub,105_08_4,-10.460287397393188
111_25,111,25,nEm,34,185.3803757021253,negsub,105_08_4,-9.197575657009793
111_25,111,25,nEm,35,188.5230708087978,negsub,105_08_4,-6.054880550337288
111_25,111,25,nEm,36,189.88925391563433,negsub,105_08_4,-4.688697443500757
111_25,111,25,nEm,37,191.51311405647814,negsub,105_08_4,-3.06483730265694
111_25,111,25,nEm,38,196.53513445467343,negsub,105_08_4,1.9571830955383405
