obj_id,subj,trial,syll,series,max_f0,min_f0,duration,condition
101_25,101,25,pER,5,116.88769962953569,116.88769962953569,115.48720676943701,negsub
101_25,101,25,sOn,15,221.6874611093604,116.88769962953569,289.3926332206729,negsub
101_25,101,25,nEm,35,198.91905913642685,180.03147856724328,169.99999999999994,negsub
101_25,101,25,lo,45,182.592278590889,173.21256292256945,180.00000000000006,negsub
101_25,101,25,da~,55,176.86995769619614,164.59660414412838,150.00000000000003,negsub
101_25,101,25,le,65,174.00125615275192,165.2240675337716,99.99999999999987,negsub
101_25,101,25,fEt,75,176.72939533777497,165.67344164169404,340.00000000000006,negsub
125_11,125,11,pER,5,547.3559446137068,198.1887444176502,113.18415135129561,dn
125_11,125,11,sOn,15,483.596291278245,242.0675389126299,210.00000000000003,dn
125_11,125,11,n@,25,242.0675389126299,204.5278221661819,89.99999999999997,dn
125_11,125,11,di,35,204.5278221661819,188.47733159238294,180,dn
125_11,125,11,Rje~,45,203.68657607185744,188.0310042726893,200.00000000000006,dn
125_11,125,11,pa~,55,188.0310042726893,174.30820841042515,130,dn
125_11,125,11,da~,65,178.48723366540747,174.74007657946007,99.99999999999987,dn
125_11,125,11,le,75,190.33828874056724,175.37717785671762,129.9999999999999,dn
125_11,125,11,Re,85,194.77678463755754,178.88518067668434,110.0000000000001,dn
125_11,125,11,y,95,178.88518067668434,177.62937784324794,40.000000000000036,dn
125_11,125,11,njo~,105,204.30275516958181,174.98856404765232,199.99999999999994,dn
105_23,105,23,Zy,5,223.44133477737097,199.08671912644886,129.99999999999997,negob
105_23,105,23,lje~,15,234.99915972971615,196.2486322704407,170.00000000000003,negob
105_23,105,23,n@,25,238.87726297475442,218.42853848447658,89.99999999999997,negob
105_23,105,23,mE,35,218.42853848447658,186.3817112209897,140.00000000000006,negob
105_23,105,23,Rje~,45,219.63805008903154,183.8745698069842,169.99999999999994,negob
105_23,105,23,d@,55,219.294471838451,218.5701468902496,60.00000000000006,negob
105_23,105,23,ko,65,220.863252267834,202.36945456668215,140,negob
105_23,105,23,te,75,233.56573272463308,203.97112860301766,149.99999999999991,negob
105_23,105,23,puR,85,230.901359544091,202.46644922927786,169.99999999999994,negob
105_23,105,23,lav,95,202.46644922927786,177.7010856730723,189.99999999999994,negob
105_23,105,23,niR,105,177.7010856730723,157.00001342313632,300.00000000000006,negob
115_07,115,07,pER,5,219.95579418998634,205.02622733738423,143.26987704022952,nc
115_07,115,07,sOn,15,238.1149065614788,213.986067960375,219.99999999999997,nc
115_07,115,07,n@,25,230.8362622277136,192.14123286562207,109.99999999999999,nc
115_07,115,07,mE,35,192.79432078035404,184.6438842789539,80.00000000000007,nc
115_07,115,07,Rje~,45,510.8364762062366,192.79432078035404,219.99999999999997,nc
115_07,115,07,na,55,227.57399258789357,197.3242868347554,109.99999999999999,nc
115_07,115,07,la,65,197.3242868347554,170.945664623062,99.99999999999997,nc
115_07,115,07,ba~k,75,483.1519809512027,82.58296601160431,360,nc
112_28,112,28,pER,5,497.52960736712924,214.81754809137968,135.13249852873864,negsub
112_28,112,28,sOn,15,477.95979566467264,244.70511283042143,200,negsub
112_28,112,28,n@,25,244.70511283042143,215.24495256844523,70,negsub
112_28,112,28,fE,35,216.6366140650792,207.86134750124518,129.99999999999994,negsub
112_28,112,28,sa,45,207.86134750124518,182.9083147542038,140,negsub
112_28,112,28,l@,55,189.38544993098668,170.90864303881193,70.00000000000006,negsub
112_28,112,28,di,65,215.23366788290483,172.93962112924996,130,negsub
112_28,112,28,ma~S,75,489.853772307479,176.17832084141,349.9999999999999,negsub
124_25,124,25,pER,5,548.5049667735892,185.681699512097,136.26866267791365,negsub
124_25,124,25,sOn,15,569.6526596000119,182.49582612311067,203.5928201423854,negsub
124_25,124,25,nEm,35,219.46447190996292,183.46694462292666,200.00000000000006,negsub
124_25,124,25,lo,45,224.4332346552681,193.78846796504303,139.99999999999991,negsub
124_25,124,25,da~,55,193.78846796504303,174.55759790133544,130,negsub
124_25,124,25,le,65,174.55759790133544,165.35073676427353,110.0000000000001,negsub
124_25,124,25,fEt,75,391.34634180714505,165.44870373419084,329.99999999999983,negsub
115_20,115,20,maR,5,200.49871015124953,179.39586778104157,89.99999999999999,negob
115_20,115,20,la,15,218.75516931119685,200.49871015124953,90.00000000000003,negob
115_20,115,20,n@,25,218.93173270978502,188.74736671932874,90.00000000000003,negob
115_20,115,20,fE,35,444.0569097920219,191.7790197107684,180,negob
115_20,115,20,Rje~,45,491.2057385299334,191.86358819010505,209.99999999999997,negob
115_20,115,20,l@,55,215.49763602120382,203.42505051059442,60.00000000000006,negob
115_20,115,20,di,65,203.42505051059442,165.3645593753847,159.99999999999991,negob
115_20,115,20,ma~S,75,555.807227862791,150.38579871239804,380,negob
127_13,127,13,pER,5,219.5918088412218,200.55118355785135,180.00000000000003,dn
127_13,127,13,sOn,15,262.1895192646077,219.5918088412218,219.99999999999997,dn
127_13,127,13,n@,25,236.6586127269884,198.26708476264676,110.00000000000004,dn
127_13,127,13,li,35,198.26708476264676,179.5917077763897,150.00000000000003,dn
127_13,127,13,Rje~,45,191.38656422013733,180.60614793753763,199.99999999999994,dn
127_13,127,13,puR,55,182.17261861509388,163.68829910538133,219.99999999999997,dn
127_13,127,13,l9R,65,171.31535173051552,167.17035295754562,89.99999999999986,dn
127_13,127,13,klas,75,167.6136334322624,167.6136334322624,340.00000000000006,dn
126_25,126,25,pER,5,118.7085954366532,116.21385981947947,133.32978105451292,negsub
126_25,126,25,sOn,15,126.06770142540877,107.47907449741696,353.31814678284184,negsub
126_25,126,25,nEm,35,115.96953287535233,104.70849040291435,329.99999999999994,negsub
126_25,126,25,lo,45,128.00631878758904,104.55675027208862,160.00000000000003,negsub
126_25,126,25,da~,55,124.19340858086603,98.7588973218825,140,negsub
126_25,126,25,le,65,98.7588973218825,93.97280928493416,109.99999999999987,negsub
126_25,126,25,fEt,75,94.92305053833996,94.92305053833996,470,negsub
