subject	item	response	rt	category	condition	truthVal	Check	PrsntOrd	check_mm
121	3	V	10.8	Critical1 NC	nc	V	T	5	nc
121	12	F	31.07	Critical2 DN	dn	F	T	7	dn
121	4	V	5.386	Critical1 NC	nc	V	T	10	nc
121	9	V	30.29	Critical2 DN	dn	V	T	13	dn
121	6	V	4.851	Critical1 NC	nc	V	T	15	nc
121	1	F	4.242	Critical1 NC	nc	F	T	16	nc
121	11	V	20.1	Critical2 DN	dn	V	T	20	dn
121	5	F	6.842	Critical1 NC	nc	F	T	21	nc
121	16	V	11.15	Critical2 DN	dn	V	T	22	dn
121	15	F	11.27	Critical2 DN	dn	F	T	27	dn
121	2	V	4.684	Critical1 NC	nc	V	T	28	nc
121	13	V	8.866	Critical2 DN	dn	V	T	31	dn
121	8	F	4.553	Critical1 NC	nc	F	T	32	nc
121	14	F	5.083	Critical2 DN	dn	F	T	36	dn
121	7	V	14.86	Critical1 NC	nc	F	F	40	nc_mm
121	17	V	4.586	Critical3 NegOb	negob	V	T	35	0
121	18	V	6.427	Critical3 NegOb	negob	V	T	25	0
121	19	F	3.642	Critical3 NegOb	negob	F	T	14	0
121	20	F	9.194	Critical3 NegOb	negob	F	T	8	0
121	21	F	6.819	Critical3 NegOb	negob	F	T	4	0
121	22	V	4.315	Critical3 NegOb	negob	V	T	26	0
121	23	V	5.436	Critical3 NegOb	negob	V	T	18	0
121	24	F	5.828	Critical3 NegOb	negob	F	T	37	0
121	25	V	5.795	Critical4 NegSub	negsub	V	T	17	0
121	26	F	6.17	Critical4 NegSub	negsub	F	T	2	0
121	27	V	7.002	Critical4 NegSub	negsub	V	T	30	0
121	28	V	7.084	Critical4 NegSub	negsub	V	T	6	0
121	29	V	6.003	Critical4 NegSub	negsub	V	T	33	0
121	30	F	6.851	Critical4 NegSub	negsub	F	T	24	0
121	31	F	3.85	Critical4 NegSub	negsub	F	T	39	0
121	32	F	6.828	Critical4 NegSub	negsub	F	T	12	0
121	33	F	3.498	Control	filler	F	T	23	0
121	34	V	7.003	Control	filler	V	T	19	0
121	35	F	3.003	Control	filler	F	T	11	0
121	36	F	3.274	Control	filler	F	T	29	0
121	37	V	7.786	Control	filler	V	T	3	0
121	38	F	4.171	Control	filler	F	T	9	0
121	39	V	5.075	Control	filler	V	T	34	0
121	40	V	3.473	Control	filler	V	T	38	0
122	4	V	6.907	Critical1 NC	nc	V	T	2	nc
122	13	F	23.25	Critical2 DN	dn	V	F	4	dn_mm
122	6	V	11.07	Critical1 NC	nc	V	T	7	nc
122	14	V	10.25	Critical2 DN	dn	F	F	9	dn_mm
122	15	V	7.713	Critical2 DN	dn	F	F	12	dn_mm
122	5	F	17.42	Critical1 NC	nc	F	T	13	nc
122	11	F	10.22	Critical2 DN	dn	V	F	18	dn_mm
122	7	F	7.907	Critical1 NC	nc	F	T	19	nc
122	16	F	10.82	Critical2 DN	dn	V	F	22	dn_mm
122	8	F	5.94	Critical1 NC	nc	F	T	24	nc
122	12	V	7.306	Critical2 DN	dn	F	F	28	dn_mm
122	3	V	4.553	Critical1 NC	nc	V	T	30	nc
122	9	F	10.49	Critical2 DN	dn	V	F	34	dn_mm
122	1	F	4.403	Critical1 NC	nc	F	T	35	nc
122	2	V	4.865	Critical1 NC	nc	V	T	39	nc
122	10	F	6.85	Critical2 DN	dn	F	T	40	dn
122	17	V	6.22	Critical3 NegOb	negob	V	T	23	0
122	18	V	7.172	Critical3 NegOb	negob	V	T	10	0
122	19	F	16.33	Critical3 NegOb	negob	F	T	1	0
122	20	F	3.819	Critical3 NegOb	negob	F	T	27	0
122	21	F	7.186	Critical3 NegOb	negob	F	T	37	0
122	22	V	3.337	Critical3 NegOb	negob	V	T	32	0
122	23	V	5.747	Critical3 NegOb	negob	V	T	15	0
122	24	F	5.092	Critical3 NegOb	negob	F	T	16	0
122	25	V	5.442	Critical4 NegSub	negsub	V	T	29	0
122	26	F	7.139	Critical4 NegSub	negsub	F	T	5	0
122	27	V	6.651	Critical4 NegSub	negsub	V	T	25	0
122	28	V	6.25	Critical4 NegSub	negsub	V	T	6	0
122	29	V	4.434	Critical4 NegSub	negsub	V	T	38	0
122	30	F	6.282	Critical4 NegSub	negsub	F	T	20	0
122	31	F	5.299	Critical4 NegSub	negsub	F	T	33	0
122	32	F	4.217	Critical4 NegSub	negsub	F	T	11	0
122	33	F	4.362	Control	filler	F	T	14	0
122	34	V	6.506	Control	filler	V	T	21	0
122	35	F	7.772	Control	filler	F	T	17	0
122	36	F	5.579	Control	filler	F	T	3	0
122	37	V	5.259	Control	filler	V	T	36	0
122	38	F	3.09	Control	filler	F	T	8	0
122	39	V	4.819	Control	filler	V	T	26	0
122	40	V	4.634	Control	filler	V	T	31	0
123	1	F	5.353	Critical1 NC	nc	F	T	1	nc
123	12	V	5.259	Critical2 DN	dn	F	F	2	dn_mm
123	8	F	3.355	Critical1 NC	nc	F	T	6	nc
123	14	V	3.523	Critical2 DN	dn	F	F	9	dn_mm
123	9	F	2.827	Critical2 DN	dn	V	F	11	dn_mm
123	3	V	2.762	Critical1 NC	nc	V	T	14	nc
123	5	F	3.506	Critical1 NC	nc	F	T	19	nc
123	10	F	2.699	Critical2 DN	dn	F	T	20	dn
123	16	V	6.594	Critical2 DN	dn	V	T	21	dn
123	4	F	2.73	Critical1 NC	nc	V	F	23	nc_mm
123	11	V	2.907	Critical2 DN	dn	V	T	26	dn
123	6	V	2.786	Critical1 NC	nc	V	T	27	nc
123	7	F	2.01	Critical1 NC	nc	F	T	34	nc
123	15	F	1.939	Critical2 DN	dn	F	T	35	dn
123	2	V	3.147	Critical1 NC	nc	V	T	36	nc
123	13	V	2.05	Critical2 DN	dn	V	T	40	dn
123	17	V	2.995	Critical3 NegOb	negob	V	T	29	0
123	18	V	4.098	Critical3 NegOb	negob	V	T	10	0
123	19	F	1.154	Critical3 NegOb	negob	F	T	33	0
123	20	F	3.428	Critical3 NegOb	negob	F	T	13	0
123	21	F	3.907	Critical3 NegOb	negob	F	T	16	0
123	22	V	3.011	Critical3 NegOb	negob	V	T	5	0
123	23	V	2.488	Critical3 NegOb	negob	V	T	37	0
123	24	F	3.49	Critical3 NegOb	negob	F	T	24	0
123	25	V	3.676	Critical4 NegSub	negsub	V	T	39	0
123	26	F	1.33	Critical4 NegSub	negsub	F	T	30	0
123	27	V	1.802	Critical4 NegSub	negsub	V	T	32	0
123	28	V	3.274	Critical4 NegSub	negsub	V	T	22	0
123	29	V	3.531	Critical4 NegSub	negsub	V	T	3	0
123	30	F	3.914	Critical4 NegSub	negsub	F	T	7	0
123	31	F	1.875	Critical4 NegSub	negsub	F	T	18	0
123	32	F	3.122	Critical4 NegSub	negsub	F	T	12	0
123	33	F	2.787	Control	filler	F	T	8	0
123	34	V	3.16	Control	filler	V	T	15	0
123	35	F	2.186	Control	filler	F	T	25	0
123	36	F	1.819	Control	filler	F	T	17	0
123	37	V	4.402	Control	filler	V	T	4	0
123	38	F	1.883	Control	filler	F	T	28	0
123	39	V	2.338	Control	filler	V	T	31	0
123	40	V	1.115	Control	filler	V	T	38	0
124	12	F	28.81	Critical2 DN	dn	F	T	1	dn
124	1	F	7.707	Critical1 NC	nc	F	T	3	nc
124	14	F	3.292	Critical2 DN	dn	F	T	7	dn
124	2	V	2.155	Critical1 NC	nc	V	T	10	nc
124	5	F	4.595	Critical1 NC	nc	F	T	11	nc
124	15	V	5.835	Critical2 DN	dn	F	F	13	dn_mm
124	13	V	8.89	Critical2 DN	dn	V	T	16	dn
124	7	F	3.97	Critical1 NC	nc	F	T	19	nc
124	3	V	3.051	Critical1 NC	nc	V	T	21	nc
124	10	V	4.956	Critical2 DN	dn	F	F	23	dn_mm
124	11	F	5.891	Critical2 DN	dn	V	F	26	dn_mm
124	4	V	2.458	Critical1 NC	nc	V	T	28	nc
124	8	F	2.203	Critical1 NC	nc	F	T	32	nc
124	16	V	3.883	Critical2 DN	dn	V	T	33	dn
124	6	V	2.61	Critical1 NC	nc	V	T	39	nc
124	9	V	5.058	Critical2 DN	dn	V	T	40	dn
