subject	item	response	rt	category	condition	truthVal	Check	PrsntOrd	check_mm
102	5	F	5.516	Critical1 NC	nc	F	T	4	nc
102	14	F	5.608	Critical2 DN	dn	F	T	5	dn
102	7	F	5.53	Critical1 NC	nc	F	T	8	nc
102	12	F	6.93	Critical2 DN	dn	F	T	10	dn
102	15	V	4.778	Critical2 DN	dn	F	F	11	dn_mm
102	2	V	3.332	Critical1 NC	nc	V	T	15	nc
102	13	F	6.363	Critical2 DN	dn	V	F	17	dn_mm
102	6	V	4.555	Critical1 NC	nc	V	T	18	nc
102	8	F	3.986	Critical1 NC	nc	F	T	21	nc
102	16	V	4.219	Critical2 DN	dn	V	T	25	dn
102	3	V	2.667	Critical1 NC	nc	V	T	26	nc
102	9	V	3.259	Critical2 DN	dn	V	T	29	dn
102	1	F	2.955	Critical1 NC	nc	F	T	32	nc
102	11	F	6.163	Critical2 DN	dn	V	F	35	dn_mm
102	4	V	2.378	Critical1 NC	nc	V	T	36	nc
102	10	F	3.194	Critical2 DN	dn	F	T	37	dn
102	17	V	4.258	Critical3 NegOb	negob	V	T	33	0
102	18	V	3.634	Critical3 NegOb	negob	V	T	30	0
102	19	F	2.962	Critical3 NegOb	negob	F	T	14	0
102	20	F	8.713	Critical3 NegOb	negob	F	T	1	0
102	21	F	5.107	Critical3 NegOb	negob	F	T	7	0
102	22	V	2.427	Critical3 NegOb	negob	V	T	20	0
102	23	V	3.609	Critical3 NegOb	negob	V	T	23	0
