"series","pvalue","test_type"
"116",55,0.118147208963881,Negative Concord X Negative Object Control
"117",56,0.238117599833944,Negative Concord X Negative Object Control
"118",57,0.339503326862951,Negative Concord X Negative Object Control
"119",58,0.438842597454706,Negative Concord X Negative Object Control
"120",59,0.544588238183872,Negative Concord X Negative Object Control
"121",0,0.00400932299043257,Negative Concord X Negative Subject Control
"122",1,0.00205668806335469,Negative Concord X Negative Subject Control
"123",2,0.000954813146991582,Negative Concord X Negative Subject Control
"124",3,0.000786774370981833,Negative Concord X Negative Subject Control
"125",4,0.000865864352810021,Negative Concord X Negative Subject Control
"126",5,0.00052776736437062,Negative Concord X Negative Subject Control
"127",6,0.000257644764054623,Negative Concord X Negative Subject Control
"128",7,0.00049371235468326,Negative Concord X Negative Subject Control
"129",8,0.00187581721962531,Negative Concord X Negative Subject Control
"130",9,0.00469320845592071,Negative Concord X Negative Subject Control
"131",10,0.0104353189022284,Negative Concord X Negative Subject Control
"132",11,0.0357564734171972,Negative Concord X Negative Subject Control
"133",12,0.108532451474048,Negative Concord X Negative Subject Control
"134",13,0.212781414958791,Negative Concord X Negative Subject Control
"135",14,0.209983276119314,Negative Concord X Negative Subject Control
"136",15,0.166415635982601,Negative Concord X Negative Subject Control
"137",16,0.16390976370823,Negative Concord X Negative Subject Control
"138",17,0.0952915609171573,Negative Concord X Negative Subject Control
"139",18,0.0536591948889879,Negative Concord X Negative Subject Control
"140",19,0.023846672324612,Negative Concord X Negative Subject Control
"141",20,0.0126424280346202,Negative Concord X Negative Subject Control
"142",21,0.00651458167150306,Negative Concord X Negative Subject Control
"143",22,0.00396414749000468,Negative Concord X Negative Subject Control
"144",23,0.002528661237837,Negative Concord X Negative Subject Control
"145",24,0.00170407590881979,Negative Concord X Negative Subject Control
"146",25,0.00138658891562218,Negative Concord X Negative Subject Control
"147",26,0.00137099057732836,Negative Concord X Negative Subject Control
"148",27,0.00162598533490026,Negative Concord X Negative Subject Control
"149",28,0.00221893809406612,Negative Concord X Negative Subject Control
"150",29,0.00323387288510704,Negative Concord X Negative Subject Control
"151",30,0.00177846682888791,Negative Concord X Negative Subject Control
"152",31,0.00377078327383706,Negative Concord X Negative Subject Control
"153",32,0.0184503945550716,Negative Concord X Negative Subject Control
"154",33,0.0890570345247612,Negative Concord X Negative Subject Control
"155",34,0.272879891993306,Negative Concord X Negative Subject Control
"156",35,0.530736891933925,Negative Concord X Negative Subject Control
"157",36,0.623695196501589,Negative Concord X Negative Subject Control
"158",37,0.643603200705624,Negative Concord X Negative Subject Control
"159",38,0.823334161617311,Negative Concord X Negative Subject Control
"160",39,0.626130474983683,Negative Concord X Negative Subject Control
"161",40,0.178795242135467,Negative Concord X Negative Subject Control
"162",41,0.214379934366866,Negative Concord X Negative Subject Control
"163",42,0.125920762906528,Negative Concord X Negative Subject Control
"164",43,0.0451934592804945,Negative Concord X Negative Subject Control
"165",44,0.0340619450744546,Negative Concord X Negative Subject Control
"166",45,0.0408454680351542,Negative Concord X Negative Subject Control
"167",46,0.0978760988087347,Negative Concord X Negative Subject Control
"168",47,0.34903112244601,Negative Concord X Negative Subject Control
"169",48,0.832682145774589,Negative Concord X Negative Subject Control
"170",49,0.803937596810861,Negative Concord X Negative Subject Control
"171",50,0.661137094209187,Negative Concord X Negative Subject Control
"172",51,0.569365801385196,Negative Concord X Negative Subject Control
"173",52,0.451630535784408,Negative Concord X Negative Subject Control
"174",53,0.263415161341334,Negative Concord X Negative Subject Control
"175",54,0.158525221737662,Negative Concord X Negative Subject Control
"176",55,0.124682658569033,Negative Concord X Negative Subject Control
"177",56,0.119116022818968,Negative Concord X Negative Subject Control
"178",57,0.137452275072847,Negative Concord X Negative Subject Control
"179",58,0.180092751046519,Negative Concord X Negative Subject Control
"180",59,0.235736047358128,Negative Concord X Negative Subject Control
"181",0,6.2445304926889e-12,Double Negative X Negative Object Control
"182",1,1.77646961014764e-12,Double Negative X Negative Object Control
"183",2,8.16185590683477e-13,Double Negative X Negative Object Control
"184",3,1.63642645594501e-12,Double Negative X Negative Object Control
"185",4,1.46305028316082e-11,Double Negative X Negative Object Control
"186",5,5.72339023541598e-11,Double Negative X Negative Object Control
"187",6,3.35606207786435e-11,Double Negative X Negative Object Control
"188",7,2.3504576830667e-11,Double Negative X Negative Object Control
"189",8,3.4740236222778e-11,Double Negative X Negative Object Control
"190",9,3.29118266363003e-11,Double Negative X Negative Object Control
"191",10,6.63304742836323e-12,Double Negative X Negative Object Control
"192",11,1.63873404207437e-13,Double Negative X Negative Object Control
"193",12,1.87672366586521e-14,Double Negative X Negative Object Control
"194",13,3.35778789029627e-14,Double Negative X Negative Object Control
"195",14,2.27060425010005e-12,Double Negative X Negative Object Control
"196",15,1.13773354596853e-09,Double Negative X Negative Object Control
"197",16,2.40963471233509e-07,Double Negative X Negative Object Control
"198",17,1.96698955062949e-05,Double Negative X Negative Object Control
"199",18,0.00156994955459602,Double Negative X Negative Object Control
"200",19,0.189338357000318,Double Negative X Negative Object Control
"201",20,0.0335047303816568,Double Negative X Negative Object Control
"202",21,0.00908915700338365,Double Negative X Negative Object Control
"203",22,0.00360410905631723,Double Negative X Negative Object Control
"204",23,0.00175797643401931,Double Negative X Negative Object Control
"205",24,0.00104373491518003,Double Negative X Negative Object Control
"206",25,0.000991839534055563,Double Negative X Negative Object Control
"207",26,0.00250840759351006,Double Negative X Negative Object Control
"208",27,0.0121072122349034,Double Negative X Negative Object Control
"209",28,0.0558060857834412,Double Negative X Negative Object Control
"210",29,0.188338236793294,Double Negative X Negative Object Control
"211",30,0.422370111422489,Double Negative X Negative Object Control
"212",31,0.124020758808352,Double Negative X Negative Object Control
"213",32,0.0399013390207814,Double Negative X Negative Object Control
"214",33,0.0321101137613143,Double Negative X Negative Object Control
"215",34,0.0378201358950998,Double Negative X Negative Object Control
"216",35,0.0503911233437424,Double Negative X Negative Object Control
"217",36,0.0827908638443625,Double Negative X Negative Object Control
"218",37,0.201113600072288,Double Negative X Negative Object Control
"219",38,0.471039192546563,Double Negative X Negative Object Control
"220",39,0.676884690834057,Double Negative X Negative Object Control
"221",40,0.697643693284843,Double Negative X Negative Object Control
"222",41,0.808026977099231,Double Negative X Negative Object Control
"223",42,0.829442967360871,Double Negative X Negative Object Control
"224",43,0.534604635955269,Double Negative X Negative Object Control
"225",44,0.202103002383243,Double Negative X Negative Object Control
"226",45,0.195144511464965,Double Negative X Negative Object Control
"227",46,0.620720536214659,Double Negative X Negative Object Control
"228",47,0.891245771560394,Double Negative X Negative Object Control
"229",48,0.383948803883437,Double Negative X Negative Object Control
"230",49,0.189188697364768,Double Negative X Negative Object Control
"231",50,0.170203204493585,Double Negative X Negative Object Control
"232",51,0.149781491831733,Double Negative X Negative Object Control
"233",52,0.184663981100193,Double Negative X Negative Object Control
"234",53,0.217353221522177,Double Negative X Negative Object Control
"235",54,0.232581400564761,Double Negative X Negative Object Control
"236",55,0.197601550716573,Double Negative X Negative Object Control
"237",56,0.10802963928165,Double Negative X Negative Object Control
"238",57,0.0365557316809022,Double Negative X Negative Object Control
"239",58,0.0153167405441683,Double Negative X Negative Object Control
"240",59,0.0149715444072593,Double Negative X Negative Object Control
"241",0,0.0356145327647433,Double Negative X Negative Subject Control
"242",1,0.0293467442089378,Double Negative X Negative Subject Control
"243",2,0.0210684790859286,Double Negative X Negative Subject Control
"244",3,0.0158224015912533,Double Negative X Negative Subject Control
"245",4,0.0135052559293802,Double Negative X Negative Subject Control
"246",5,0.00938666710872123,Double Negative X Negative Subject Control
"247",6,0.00607930293743473,Double Negative X Negative Subject Control
"248",7,0.00641583905324136,Double Negative X Negative Subject Control
"249",8,0.0100730821754209,Double Negative X Negative Subject Control
"250",9,0.0154957327943714,Double Negative X Negative Subject Control
"251",10,0.0249046769064635,Double Negative X Negative Subject Control
"252",11,0.0577146485103536,Double Negative X Negative Subject Control
"253",12,0.113410893537724,Double Negative X Negative Subject Control
"254",13,0.176974189783649,Double Negative X Negative Subject Control
"255",14,0.151038113704358,Double Negative X Negative Subject Control
"256",15,0.0509441025161903,Double Negative X Negative Subject Control
"257",16,0.00437973131160455,Double Negative X Negative Subject Control
"258",17,8.16209351201717e-05,Double Negative X Negative Subject Control
"259",18,6.28751634532638e-06,Double Negative X Negative Subject Control
"260",19,3.18490247016993e-06,Double Negative X Negative Subject Control
"261",20,0.000223978175164644,Double Negative X Negative Subject Control
"262",21,0.000236760623421232,Double Negative X Negative Subject Control
"263",22,0.000303039407623189,Double Negative X Negative Subject Control
"264",23,0.000479254608327965,Double Negative X Negative Subject Control
"265",24,0.000935278406515699,Double Negative X Negative Subject Control
"266",25,0.00206634006561077,Double Negative X Negative Subject Control
"267",26,0.00478933436301832,Double Negative X Negative Subject Control
"268",27,0.0111090291148825,Double Negative X Negative Subject Control
"269",28,0.0241696815950188,Double Negative X Negative Subject Control
"270",29,0.0423554092393265,Double Negative X Negative Subject Control
"271",30,0.00222349805977327,Double Negative X Negative Subject Control
"272",31,0.00343934175883424,Double Negative X Negative Subject Control
"273",32,0.0101322307406567,Double Negative X Negative Subject Control
"274",33,0.0355829152257619,Double Negative X Negative Subject Control
"275",34,0.100988002362176,Double Negative X Negative Subject Control
"276",35,0.242159547173391,Double Negative X Negative Subject Control
"277",36,0.574150689593648,Double Negative X Negative Subject Control
"278",37,0.927189182081136,Double Negative X Negative Subject Control
"279",38,0.670620776618863,Double Negative X Negative Subject Control
"280",39,0.561711320678222,Double Negative X Negative Subject Control
"281",40,0.552039238776373,Double Negative X Negative Subject Control
"282",41,0.602453828407663,Double Negative X Negative Subject Control
"283",42,0.56001146859334,Double Negative X Negative Subject Control
"284",43,0.372620613465637,Double Negative X Negative Subject Control
"285",44,0.237511683261229,Double Negative X Negative Subject Control
"286",45,0.236682047293542,Double Negative X Negative Subject Control
"287",46,0.549716112540575,Double Negative X Negative Subject Control
"288",47,0.536760342089308,Double Negative X Negative Subject Control
"289",48,0.0887327961673536,Double Negative X Negative Subject Control
"290",49,0.014766722097682,Double Negative X Negative Subject Control
"291",50,0.0103788584440059,Double Negative X Negative Subject Control
"292",51,0.0112205568610621,Double Negative X Negative Subject Control
"293",52,0.013760808566908,Double Negative X Negative Subject Control
"294",53,0.0187056608292056,Double Negative X Negative Subject Control
"295",54,0.0340401437903258,Double Negative X Negative Subject Control
"296",55,0.0788069531342616,Double Negative X Negative Subject Control
"297",56,0.193621839049755,Double Negative X Negative Subject Control
"298",57,0.432981417894475,Double Negative X Negative Subject Control
"299",58,0.771062171560008,Double Negative X Negative Subject Control
