rowLabel	NormalizedTime	F0
_	1	199.75177187514026
_	2	199.75177187514026
_	3	199.75177187514024
_	4	199.75177187514024
_	5	199.75177187514026
_	6	199.7517718751403
_	7	199.8509525745829
_	8	200.19808502263203
_	9	200.54521747068114
_	10	201.1740625348868
le	11	202.17852442063446
le	12	205.00580723395737
le	13	207.1190715757239
le	14	207.8981938026217
le	15	208.12346797896052
le	16	208.88296112982766
le	17	210.12968622978022
le	18	211.2403797789461
le	19	212.18506813795406
le	20	213.60091997870177
Za~	21	216.49110654274222
Za~	22	221.48280129710113
Za~	23	227.60434671731684
Za~	24	234.13477971650622
Za~	25	240.83612986943027
Za~	26	247.51047443955702
Za~	27	253.440658995146
Za~	28	257.69920388360674
Za~	29	259.62582317671956
Za~	30	259.24722507898855
n@	31	257.36735472136564
n@	32	255.24302604283108
n@	33	252.45988084992928
n@	34	249.11347038839816
n@	35	245.08686366928188
n@	36	240.13543276073892
n@	37	234.55631097275693
n@	38	228.53664504223326
n@	39	222.58636498796105
n@	40	217.2420607672906
ma~Z	41	212.88374027234303
ma~Z	42	206.41721679772272
ma~Z	43	204.249030908803
ma~Z	44	205.72411693260756
ma~Z	45	208.81021354138173
ma~Z	46	210.7452149913649
ma~Z	47	209.42788121278014
ma~Z	48	207.12830788276418
ma~Z	49	205.53459346654
ma~Z	50	204.68348527084737
Rje~	51	204.92771999768988
Rje~	52	203.4574682054027
Rje~	53	199.7954218033703
Rje~	54	202.48363293031616
Rje~	55	213.0996601737226
Rje~	56	224.05960106360521
Rje~	57	236.01960896790038
Rje~	58	248.06507024867335
Rje~	59	256.02720843583967
Rje~	60	256.03443795603073
l@	61	246.7196304496377
l@	62	243.13506435750614
l@	63	239.49095508050627
l@	64	235.72775943376968
l@	65	232.03048435996018
l@	66	228.36616957261418
l@	67	225.1862398223552
l@	68	222.16129166329813
l@	69	219.446306686645
l@	70	217.11475970775243
swaR	71	214.9749317277402
swaR	72	211.03289056207808
swaR	73	209.85592694698997
swaR	74	207.78005235630033
swaR	75	189.08301901788928
swaR	76	175.4148492812434
swaR	77	178.34138310587807
swaR	78	193.24348444274924
swaR	79	194.28142315505258
swaR	80	194.28142315505258
_	81	194.28142315505258
_	82	194.28142315505258
_	83	194.28142315505258
_	84	194.28142315505258
_	85	194.28142315505258
_	86	194.28142315505258
_	87	194.28142315505258
_	88	194.28142315505258
_	89	194.28142315505255
_	90	194.28142315505252
