rowLabel	NormalizedTime	F0
pER	1	99.06366811950186
pER	2	99.06366811950187
pER	3	99.06366811950187
pER	4	99.06366811950188
pER	5	99.06366811950188
pER	6	99.06366811950187
pER	7	99.06366811950187
pER	8	99.13211140254161
pER	9	99.62452772306037
pER	10	102.1010803262783
pER	11	107.27589668179982
pER	12	124.04207370308669
pER	13	148.30787637168356
pER	14	172.75213599111268
pER	15	188.71388917355966
pER	16	197.23375172130648
pER	17	199.64381269197128
pER	18	203.03222947580448
pER	19	207.15269958406472
pER	20	211.53628474049086
sOn	21	217.10610329454175
sOn	22	223.19753039871242
sOn	23	229.48822961141678
sOn	24	235.92838290552137
sOn	25	242.3307983598973
sOn	26	248.03952965240876
sOn	27	250.83288269319362
sOn	28	250.73752388228877
sOn	29	249.82980651236682
sOn	30	249.90043439511643
nEm	31	249.19681736214608
nEm	32	246.81536210356526
nEm	33	243.56559203774006
nEm	34	238.66581523665454
nEm	35	231.03809491973914
nEm	36	220.90097074293357
nEm	37	209.2579037977415
nEm	38	197.7382676063044
nEm	39	187.84354135988008
nEm	40	181.04992592344033
Rje~	41	177.18802828608477
Rje~	42	176.59313539892204
Rje~	43	174.62385575425319
Rje~	44	179.55856464248288
Rje~	45	188.11158745890438
Rje~	46	195.289748700773
Rje~	47	203.69769991052803
Rje~	48	219.1570888709743
Rje~	49	230.79556702871452
Rje~	50	231.47086400180223
da~	51	217.82947864955074
da~	52	206.29651654094283
da~	53	193.138452952516
da~	54	182.8409456623856
da~	55	177.20731818532204
da~	56	173.96236748301342
da~	57	171.67728861932002
da~	58	170.23539275958987
da~	59	169.68812746963937
da~	60	169.61003326633698
le	61	169.54776098428152
le	62	169.36235601695202
le	63	169.07594635120304
le	64	168.587527288615
le	65	167.86435638812938
le	66	167.023809568695
le	67	166.06252506831157
le	68	165.14245353573108
le	69	164.30480793875645
le	70	163.85759620976174
pla	71	163.60560141475696
pla	72	165.71892132496842
pla	73	169.93824968007274
pla	74	175.34108656440662
pla	75	180.892966107999
pla	76	186.4448456515914
pla	77	191.56672545617045
pla	78	195.96655734079084
pla	79	203.67393275953546
pla	80	220.45773546676432
pRO	81	289.45649530384634
pRO	82	358.26573418360124
pRO	83	415.5091870415681
pRO	84	456.69411111074186
pRO	85	474.4923282546069
pRO	86	478.2755110707919
pRO	87	486.1383708015958
pRO	88	503.17090450937593
pRO	89	508.73819073903746
pRO	90	496.0911828032615
po	91	474.9335314415748
po	92	454.2287418330908
po	93	433.5239522246065
po	94	412.6254096942651
po	95	391.2755179702091
po	96	365.1096683480454
po	97	327.73427122268305
po	98	268.91101714174374
po	99	204.50119777439892
po	100	157.94942188814423
ze	101	143.36344947327962
ze	102	167.16198074989038
ze	103	198.88907099557784
ze	104	232.87528433862678
ze	105	266.86149768167616
ze	106	300.847711024725
ze	107	334.8339243677739
ze	108	368.82013771082313
ze	109	402.8063510538721
ze	110	436.1916113219473
_	111	461.6708209232459
_	112	485.88923275738046
_	113	518.3524765326047
_	114	509.7431574390632
_	115	476.5500542133724
_	116	496.30292179833975
_	117	506.65226171130996
_	118	478.3942176161912
_	119	445.32422842247786
_	120	421.7499517283828
