rowLabel	NormalizedTime	F0
pER	1	272.4682400640292
pER	2	272.4682400640292
pER	3	272.4682400640292
pER	4	272.4682400640292
pER	5	272.4682400640292
pER	6	272.46458912086274
pER	7	272.4589933228959
pER	8	272.4533975249291
pER	9	272.4478017269622
pER	10	271.8927795557806
pER	11	270.0851206037708
pER	12	264.13644388768836
pER	13	254.6095401212546
pER	14	242.17243431038594
pER	15	231.4332155876353
pER	16	224.04959949403005
pER	17	220.45496704098554
pER	18	220.2006824980766
pER	19	221.55377771133675
pER	20	223.75502072474316
sOn	21	227.90597011717182
sOn	22	234.77504365428328
sOn	23	242.1146901561505
sOn	24	249.52989820341534
sOn	25	255.8769395223989
sOn	26	254.18353027229105
sOn	27	246.65923305985004
sOn	28	244.00300243937428
sOn	29	243.50599694874617
sOn	30	240.08088162916457
n@	31	234.4895689081566
n@	32	232.13921182130662
n@	33	229.875318060322
n@	34	227.6101051740407
n@	35	225.2921739937065
n@	36	223.10990056127116
n@	37	220.75128581675037
n@	38	218.27081541215438
n@	39	215.84739576858365
n@	40	213.39544719792988
ma~Z	41	211.24212614137068
ma~Z	42	207.66658500438277
ma~Z	43	204.81114625623582
ma~Z	44	202.80713758652718
ma~Z	45	202.10314320442058
ma~Z	46	201.80301044306225
ma~Z	47	201.3046023930493
ma~Z	48	201.27979068550695
ma~Z	49	203.94945973751948
ma~Z	50	209.96026364301258
Rje~	51	217.1040255186305
Rje~	52	222.1900129943914
Rje~	53	223.8696976871606
Rje~	54	222.95413472270064
Rje~	55	222.93073349147235
Rje~	56	225.585842385283
Rje~	57	229.76935065820163
Rje~	58	233.9786966792892
Rje~	59	236.91005200840087
Rje~	60	236.8091072855052
pa~	61	234.8930688664514
pa~	62	235.03402658929832
pa~	63	236.6500902683618
pa~	64	238.63714139611722
pa~	65	238.13674445317434
pa~	66	232.1586798919153
pa~	67	222.1709237506459
pa~	68	213.03995771970568
pa~	69	206.28990473518817
pa~	70	202.10777334396977
da~	71	198.95373420997433
da~	72	197.76172957512327
da~	73	197.57369113705025
da~	74	197.81008574083512
da~	75	199.30401174502094
da~	76	205.46263850531443
da~	77	218.2846698720528
da~	78	236.30035123503714
da~	79	251.69539474657694
da~	80	259.54206391616884
_	81	256.3619772111605
_	82	253.26009827069245
_	83	250.02187300317075
_	84	246.64990176247363
_	85	243.08901315446423
_	86	239.48968575995826
_	87	235.93830923254026
_	88	232.5452486593388
_	89	229.37345568819717
_	90	226.38664121288588
9~	91	223.59729415377984
9~	92	219.7682013375514
9~	93	216.2420210535317
9~	94	213.1889564849145
9~	95	210.56298755180464
9~	96	208.60788876802425
9~	97	207.0878131877528
9~	98	205.8152355978069
9~	99	204.70686867310604
9~	100	203.59238519839474
mwa	101	202.51816347690448
mwa	102	200.35480735804043
mwa	103	198.00762737510743
mwa	104	195.97921745443543
mwa	105	194.494979815714
mwa	106	193.4973979183578
mwa	107	193.16543936868544
mwa	108	194.0245837197087
mwa	109	197.56636645738533
mwa	110	203.92038210509605
_	111	210.96764367833464
_	112	213.01582027528207
_	113	214.19542781240236
_	114	214.35877850815444
_	115	214.35877850815444
_	116	214.35877850815444
_	117	214.35877850815444
_	118	214.35877850815444
_	119	214.35877850815444
_	120	214.35877850815444
