rowLabel	NormalizedTime	F0
_	1	113.93273618995015
_	2	113.93273618995015
_	3	113.93273618995015
_	4	113.93273618995015
_	5	113.93273618995015
_	6	113.93273618995015
_	7	113.93273618995015
_	8	113.93273618995015
_	9	113.93273618995015
_	10	113.93273618995015
pER	11	113.93273618995016
pER	12	113.92120348231761
pER	13	113.89760227140366
pER	14	113.88596671279237
pER	15	113.926991160996
pER	16	114.05619740699116
pER	17	114.30600686443005
pER	18	114.71240818744548
pER	19	115.29844924245168
pER	20	116.0331403166829
sOn	21	117.26144761821996
sOn	22	120.99268081224963
sOn	23	125.1964424952604
sOn	24	129.41356754729063
sOn	25	133.63069259932084
sOn	26	137.23098131383685
sOn	27	137.7130212325107
sOn	28	135.05361557457977
sOn	29	131.84357852486417
sOn	30	127.3102013912727
n@	31	119.8532967623934
n@	32	116.85137187901027
n@	33	114.09339236443164
n@	34	111.69142455262137
n@	35	109.64079663156659
n@	36	108.07942785219922
n@	37	106.92602012054294
n@	38	105.83773002938594
n@	39	104.47126428079875
n@	40	102.70473636693919
di	41	100.77045045313736
di	42	98.94843505824264
di	43	98.17358617006074
di	44	98.15609368237983
di	45	98.31872507779504
di	46	98.50994631742013
di	47	98.9360542979243
di	48	99.8507565383078
di	49	101.40229222249695
di	50	103.2026638886207
mo	51	104.95319613645646
mo	52	106.65503762817298
mo	53	108.64703175249146
mo	54	111.09316588439374
mo	55	113.90156647324784
mo	56	116.98448358780186
mo	57	120.24073745036296
mo	58	122.85561432413667
mo	59	124.19924044603587
mo	60	124.02502259924884
pa~	61	122.68167169824255
pa~	62	120.0901506109717
pa~	63	116.97808942845938
pa~	64	113.72335464294483
pa~	65	110.46861985743027
pa~	66	107.24084199419036
pa~	67	104.32034076935852
pa~	68	102.18333177298061
pa~	69	100.95104265500544
pa~	70	100.06137008592688
da~	71	99.20717099495407
da~	72	98.71019166396259
da~	73	98.33494846231746
da~	74	98.03206002176805
da~	75	97.76522790207486
da~	76	97.6398699888798
da~	77	97.95823460926978
da~	78	98.87324339683995
da~	79	100.34968555699908
da~	80	102.18422309496667
_	81	104.17058827919504
_	82	105.00429947273463
_	83	105.83801066627424
_	84	106.67172185981383
_	85	107.50543305335344
_	86	108.33914424689304
_	87	109.17285544043263
_	88	110.0017714382231
_	89	110.83068743601353
_	90	111.58046477511085
y	91	112.33024211420813
y	92	113.37381075320585
y	93	113.72812004378258
y	94	113.27387093176932
y	95	112.1214265670418
y	96	110.67314800537
y	97	109.19466176304326
y	98	107.74638951210463
y	99	106.31938069647387
y	100	104.73598320743436
n9R	101	102.89653630867473
n9R	102	97.31225283794319
n9R	103	91.84259885072606
n9R	104	87.29168533092373
n9R	105	84.53066701356884
n9R	106	83.29150793850893
n9R	107	81.98468482066322
n9R	108	80.84208172607447
n9R	109	80.66538811547751
n9R	110	80.66538811547751
_	111	80.66538811547751
_	112	80.66538811547751
_	113	80.66538811547751
_	114	80.66538811547751
_	115	80.66538811547751
_	116	80.66538811547751
_	117	80.66538811547751
_	118	80.66538811547751
_	119	80.66538811547751
_	120	80.66538811547751
