rowLabel	NormalizedTime	F0
_	1	183.56687132185252
_	2	185.1574024795887
_	3	186.96328235704308
_	4	189.73823147322923
_	5	192.06411477279207
_	6	193.6041328932642
_	7	195.41775761235982
_	8	197.4593878303084
_	9	198.67235091840737
_	10	199.5745638328127
a	11	199.42210787248902
a	12	198.40302077236157
a	13	197.3839336722341
a	14	196.25938803968336
a	15	195.13484240713262
a	16	194.00675090186553
a	17	192.87865939659844
a	18	191.74819011931618
a	19	190.6177208420339
a	20	189.67382694410182
lin	21	188.72993304616978
lin	22	191.35160802388623
lin	23	199.36044435771873
lin	24	206.51878398818343
lin	25	215.16020931108662
lin	26	226.86187816369255
lin	27	231.0272032654073
lin	28	230.97301953629022
lin	29	228.79318137299663
lin	30	223.13653101463916
n@	31	215.09923156022035
n@	32	211.71583597633207
n@	33	207.68206498452412
n@	34	203.11190269012133
n@	35	198.1056172482129
n@	36	193.13759909087213
n@	37	188.84090655154594
n@	38	185.3766510921432
n@	39	182.69598907282588
n@	40	180.4495988089243
di	41	178.43850505222497
di	42	175.75746778786583
di	43	175.91636869298227
di	44	178.55908076148597
di	45	182.05655835766714
di	46	185.57418220117083
di	47	189.0918060446745
di	48	192.60942988817817
di	49	196.12705373168188
di	50	199.6446775751856
Rje~	51	203.16230141868925
Rje~	52	208.24331363708347
Rje~	53	213.3243258554777
Rje~	54	218.4053380738719
Rje~	55	223.48635029226608
Rje~	56	228.435935716119
Rje~	57	232.53968759956808
Rje~	58	234.5079944193011
Rje~	59	232.6749347073958
Rje~	60	224.56419914652514
pa~	61	210.41724106930923
pa~	62	199.0849244695196
pa~	63	185.27816419723078
pa~	64	169.64601004624458
pa~	65	153.44343607091574
pa~	66	137.24000901044334
pa~	67	121.8114844200344
pa~	68	109.30559745648796
pa~	69	100.76538855677855
pa~	70	96.97713018453004
da~	71	96.82998223432757
da~	72	100.01467110102777
da~	73	106.46170649119918
da~	74	116.3376961314601
da~	75	128.74225389110796
da~	76	141.64640920340284
da~	77	152.78980368283743
da~	78	160.51973824807803
da~	79	164.59278978279053
da~	80	165.95741481908803
le	81	165.90148590652308
le	82	165.42828493117472
le	83	164.98184465888144
le	84	164.59871871885275
le	85	164.27743468516476
le	86	163.97384462706623
le	87	163.69160844672763
le	88	163.22302894176858
le	89	162.58339419130039
le	90	161.84602026001593
kuR	91	160.93035479813568
kuR	92	159.46085438150652
kuR	93	159.43268199525644
kuR	94	159.43268199525644
kuR	95	159.43268199525644
kuR	96	159.43268199525644
kuR	97	159.43268199525644
kuR	98	159.43268199525644
kuR	99	159.43268199525644
kuR	100	159.43268199525644
_	101	159.43268199525644
_	102	159.43268199525644
_	103	159.43268199525644
_	104	159.43268199525644
_	105	159.43268199525644
_	106	159.43268199525644
_	107	159.43268199525644
_	108	159.43268199525644
_	109	159.43268199525644
_	110	159.43268199525644
