rowLabel	NormalizedTime	F0
_	1	216.12355102214792
_	2	216.12355102214792
_	3	216.12355102214792
_	4	216.12355102214792
_	5	216.12355102214792
_	6	216.12355102214792
_	7	216.12355102214795
_	8	216.12355102214795
_	9	216.12355102214795
_	10	216.12355102214795
pER	11	216.12355102214795
pER	12	216.12355102214804
pER	13	216.1234860594425
pER	14	215.88645275617523
pER	15	214.65514429536418
pER	16	212.2584270843844
pER	17	209.14229896659032
pER	18	207.19805116767205
pER	19	207.87862590397077
pER	20	210.89476420619778
sOn	21	216.28262825043723
sOn	22	224.45550432779797
sOn	23	232.82483451182588
sOn	24	240.44209060518733
sOn	25	244.8665033171687
sOn	26	244.81721222708057
sOn	27	241.25525010729658
sOn	28	235.59493855741403
sOn	29	229.30586796644855
sOn	30	222.37144702413923
n@	31	213.7868075551108
n@	32	209.7484550444313
n@	33	205.58080296469015
n@	34	201.31508231685606
n@	35	196.97239271205706
n@	36	192.5637023715804
n@	37	188.28285411839192
n@	38	184.5072796120489
n@	39	181.36172856914297
n@	40	178.92356340097984
mE	41	177.22275921357922
mE	42	175.95819477725664
mE	43	175.11986279567637
mE	44	174.3404962607238
mE	45	173.59501384053505
mE	46	173.1148520858054
mE	47	173.1451286550834
mE	48	173.7199534439429
mE	49	174.84553429779285
mE	50	176.5389534876098
sa	51	178.77415974160684
sa	52	181.88702569205452
sa	53	185.20173564768285
sa	54	188.5367481298254
sa	55	191.87176061196803
sa	56	195.20677309411064
sa	57	198.04374424230193
sa	58	200.06550654576054
sa	59	200.74241655121878
sa	60	200.17066314065204
a	61	198.40049632288728
a	62	196.45965931193027
a	63	194.08909898026997
a	64	191.64599311340393
a	65	189.21986577440506
a	66	187.12190364857597
a	67	185.3914150373447
a	68	183.8338185467375
a	69	182.38826156444728
a	70	181.13495782986965
le	71	179.99259877349354
le	72	179.4497789161323
le	73	179.7439436168201
le	74	180.8468328715907
le	75	182.45770509174002
le	76	184.16740050524245
le	77	185.65528433875934
le	78	186.56947036680464
le	79	186.90133992904512
le	80	186.4913561823343
gliz	81	185.43239340197053
gliz	82	179.59292022746862
gliz	83	173.11250777606946
gliz	84	166.63209532467022
gliz	85	160.1601231227342
gliz	86	178.24375898249343
gliz	87	333.6970321239341
gliz	88	340.38253707928
gliz	89	179.59207962539315
gliz	90	103.06884809328339
_	91	98.82839820156562
_	92	98.82839820156562
_	93	98.82839820156562
_	94	98.82839820156562
_	95	98.82839820156562
_	96	98.82839820156562
_	97	98.82839820156562
_	98	98.8283982015656
_	99	98.8283982015656
_	100	98.8283982015656
