rowLabel	NormalizedTime	F0
pER	1	251.83515206290068
pER	2	251.83515206290068
pER	3	251.83515206290068
pER	4	251.83515206290068
pER	5	251.8351520629007
pER	6	251.83515206290073
pER	7	251.83515206290073
pER	8	251.83515206290073
pER	9	251.83515206290073
pER	10	251.40065646273783
pER	11	250.386833395691
pER	12	246.45961823338598
pER	13	240.17532245866175
pER	14	232.1776808669019
pER	15	225.28136732569232
pER	16	220.29995109140688
pER	17	217.32293524392892
pER	18	215.79907968102546
pER	19	214.86670458720195
pER	20	214.35210377127322
sOn	21	214.16582620492292
sOn	22	214.0297434306896
sOn	23	213.89215534897556
sOn	24	213.75445438569645
sOn	25	218.72988209816594
sOn	26	237.8259603013701
sOn	27	247.76967439996156
sOn	28	246.32984983006662
sOn	29	244.36945042250005
sOn	30	239.1700987577045
n@	31	233.1443052059381
n@	32	231.78987822968344
n@	33	230.30996198826662
n@	34	228.29422254169955
n@	35	225.7922869892914
n@	36	223.18322984086225
n@	37	220.5999987565776
n@	38	218.1515037574973
n@	39	216.1721262334304
n@	40	214.76240461240567
fE	41	213.96562240700908
fE	42	216.02664474728638
fE	43	220.9749406360008
fE	44	226.92369166540277
fE	45	232.8602403578165
fE	46	235.44123604271323
fE	47	231.64812026947834
fE	48	223.0389199219797
fE	49	215.6383679899123
fE	50	212.2060948077545
Rje~	51	210.73246172578632
Rje~	52	210.59643112981396
Rje~	53	210.7949839448835
Rje~	54	212.42281468637478
Rje~	55	216.13424082343784
Rje~	56	221.72144602757686
Rje~	57	227.69391779899104
Rje~	58	232.8106432582652
Rje~	59	236.49892650019416
Rje~	60	237.79792178935662
se	61	236.20808510209184
se	62	234.68811513848502
se	63	236.54065510709307
se	64	240.50542379094264
se	65	244.68975843257294
se	66	248.85604732133123
se	67	249.3806418573887
se	68	240.93573718384022
se	69	225.64881075132914
se	70	213.31623897304797
ZuR	71	208.77281453304306
ZuR	72	208.9207363791293
ZuR	73	210.29888704440265
ZuR	74	211.34801925270452
ZuR	75	211.31577039541398
ZuR	76	209.62498007128687
ZuR	77	207.32901159540847
ZuR	78	206.05750006086242
ZuR	79	204.6422166395133
ZuR	80	200.43515343070635
la	81	193.45511846740555
la	82	187.46401209163653
la	83	181.9730656509703
la	84	179.23040000566053
la	85	190.36207584774496
la	86	224.4641774462435
la	87	282.12113896616535
la	88	336.9911165063426
la	89	372.4898584358596
la	90	385.935523829371
_	91	388.74011618496803
_	92	388.74011618496803
_	93	388.74011618496803
_	94	388.74011618496803
_	95	388.74011618496803
_	96	388.74011618496803
_	97	388.74011618496803
_	98	388.74011618496803
_	99	388.74011618496803
_	100	388.74011618496803
