rowLabel	NormalizedTime	F0
_	1	171.6206897944651
_	2	171.6206897944651
_	3	171.62068979446514
_	4	171.62068979446514
_	5	171.62068979446516
_	6	171.6206897944652
_	7	171.6206897944652
_	8	171.6206897944652
_	9	171.62068979446516
_	10	171.62068979446516
ly	11	171.62068979446516
ly	12	172.90181072096289
ly	13	175.24611032909
ly	14	178.60619894224718
ly	15	180.94192622898535
ly	16	182.24337193233214
ly	17	182.80367526325568
ly	18	183.72759226005866
ly	19	185.49201305402593
ly	20	188.1455752291232
si	21	191.57935474846568
si	22	199.00807573250427
si	23	206.54956244283628
si	24	214.09104915316834
si	25	221.63253586350035
si	26	229.17402257383242
si	27	236.7155092841644
si	28	244.1872366683329
si	29	249.8734600295061
si	30	248.71938777888565
n@	31	237.93070223504625
n@	32	234.73032794135702
n@	33	231.83996643082466
n@	34	228.4699723943716
n@	35	224.32559026680755
n@	36	219.6865133710519
n@	37	214.87065694245535
n@	38	210.41911992019325
n@	39	206.54508742899105
n@	40	202.87740760035743
vwa	41	199.23967712001107
vwa	42	194.56243200675715
vwa	43	192.56130135919696
vwa	44	197.07978947509073
vwa	45	205.13238642287445
vwa	46	209.1400515370672
vwa	47	205.58041372680213
vwa	48	197.1817668965362
vwa	49	189.1837022651059
vwa	50	184.05871894252948
Rje~	51	180.9167164814829
Rje~	52	182.0767503304487
Rje~	53	187.16003122272332
Rje~	54	192.79694636043925
Rje~	55	197.43488110279398
Rje~	56	200.36873727622373
Rje~	57	203.19840874985087
Rje~	58	206.27357912377235
Rje~	59	206.92800767956976
Rje~	60	204.77155959895452
o	61	202.03025261090355
o	62	200.83048137842536
o	63	199.58467276824692
o	64	198.18911058868036
o	65	196.65164393200845
o	66	195.09857046031132
o	67	193.4946134338026
o	68	191.73508088287508
o	69	189.8267009867912
o	70	187.77217262553356
tuR	71	185.51315421675062
tuR	72	182.2832847726116
tuR	73	181.10303300141055
tuR	74	180.67724868994992
tuR	75	180.26249192337406
tuR	76	179.77162821636793
tuR	77	179.16759968156813
tuR	78	178.87945035909283
tuR	79	179.09537750914907
tuR	80	178.82919036050458
dEl	81	177.8419954673865
dEl	82	177.53001981745714
dEl	83	178.2092747031689
dEl	84	179.05425317308698
dEl	85	179.89923164300507
dEl	86	180.74421011292316
dEl	87	181.58918858284125
dEl	88	182.34048946777375
dEl	89	182.03399025836717
dEl	90	180.2891579784886
_	91	178.7876109325115
_	92	178.7876109325115
_	93	178.78761093251148
_	94	178.78761093251148
_	95	178.78761093251146
_	96	178.78761093251146
_	97	178.78761093251146
_	98	178.78761093251148
_	99	178.78761093251148
_	100	178.78761093251148
