subj,trial,syll,series,raw_f0
115,31,pER,0,217.48180301691
115,31,pER,1,217.6292200066108
115,31,pER,2,217.93387501613358
115,31,pER,3,218.43025564100353
115,31,pER,4,219.2704004229635
115,31,pER,5,220.72985806377577
115,31,pER,6,223.09903916608684
115,31,pER,7,226.23100366955205
115,31,pER,8,229.60217715357396
115,31,pER,9,232.8441319464123
115,31,sOn,10,237.08466122062853
115,31,sOn,11,243.05956019656122
115,31,sOn,12,249.45111784016592
115,31,sOn,13,255.88365052083913
115,31,sOn,14,262.1798078540813
115,31,sOn,15,259.79427461574676
115,31,sOn,16,243.8814185384706
115,31,sOn,17,234.3161191080487
115,31,sOn,18,234.50281231983422
115,31,sOn,19,234.06588924624677
115,31,n@,20,226.49268869032332
115,31,n@,21,222.96442759671243
115,31,n@,22,218.86220520848815
115,31,n@,23,213.96765222739648
115,31,n@,24,208.22714091685168
115,31,n@,25,201.6755225086776
115,31,n@,26,194.85790552113934
115,31,n@,27,188.45990685619614
115,31,n@,28,183.10315107681168
115,31,n@,29,179.19885721554766
115,31,mE,30,176.90192019366256
115,31,mE,31,175.90695315406967
115,31,mE,32,175.62785119727724
115,31,mE,33,175.72048920763982
115,31,mE,34,175.89546646826764
115,31,mE,35,176.10190608448323
115,31,mE,36,176.16919963478992
115,31,mE,37,175.9844855040389
115,31,mE,38,175.6346167499259
115,31,mE,39,175.31767114761507
115,31,sa,40,175.53296211177226
115,31,sa,41,178.10291535232795
115,31,sa,42,182.49624001813152
115,31,sa,43,187.2987692119211
115,31,sa,44,192.10129840571074
115,31,sa,45,196.90382759950037
115,31,sa,46,200.95109776945267
115,31,sa,47,202.56844598626154
115,31,sa,48,201.40693029548257
115,31,sa,49,199.19839676579429
115,31,a,50,195.31892778113067
115,31,a,51,193.99677368155278
115,31,a,52,192.56747814229152
115,31,a,53,191.02613422068944
115,31,a,54,189.2946364836176
115,31,a,55,187.41875676924866
115,31,a,56,185.43739178681537
115,31,a,57,183.33669561151822
115,31,a,58,181.22838022873168
115,31,a,59,179.18235439426337
115,31,le,60,177.22107444810584
115,31,le,61,174.7019375020894
115,31,le,62,173.43191079392497
115,31,le,63,173.8386146768091
115,31,le,64,176.42654393538447
115,31,le,65,181.23927238403186
115,31,le,66,187.3974294383932
115,31,le,67,193.03362900501742
115,31,le,68,196.93573124692588
115,31,le,69,199.12607357178703
115,31,gliz,70,200.28139787160725
115,31,gliz,71,201.96963802096624
115,31,gliz,72,200.41097479494184
115,31,gliz,73,191.89026746411054
115,31,gliz,74,180.19233745155506
115,31,gliz,75,163.217119901107
115,31,gliz,76,123.13154647405582
115,31,gliz,77,76.80724245377534
115,31,gliz,78,58.27138551847973
115,31,gliz,79,57.24658758498355
119,15,pER,0,262.1739892476832
119,15,pER,1,262.1739892476832
119,15,pER,2,262.17573179754976
119,15,pER,3,262.6252269881219
119,15,pER,4,265.1560596008093
119,15,pER,5,274.737285751542
119,15,pER,6,311.06943358663045
119,15,pER,7,368.5357622867115
119,15,pER,8,418.45488331380074
119,15,pER,9,429.97735412984326
119,15,sOn,10,407.49686593481545
119,15,sOn,11,385.03499071558605
119,15,sOn,12,360.01099157368355
119,15,sOn,13,334.09495994759936
119,15,sOn,14,309.8504317358649
119,15,sOn,15,292.7536261414984
119,15,sOn,16,285.8584271281102
119,15,sOn,17,283.474502568239
119,15,sOn,18,279.67053316455474
119,15,sOn,19,274.0900946587494
119,15,n@,20,266.46723131823654
119,15,n@,21,263.0809642635658
119,15,n@,22,259.6509776530936
119,15,n@,23,256.2083866932221
119,15,n@,24,252.74209972817565
119,15,n@,25,249.1988182400005
119,15,n@,26,245.57675724934433
119,15,n@,27,241.84844105920047
119,15,n@,28,238.06486241906254
119,15,n@,29,234.31565798276787
119,15,mE,30,230.72910830849773
119,15,mE,31,224.92628094727667
119,15,mE,32,220.51210548736296
119,15,mE,33,217.1534954853659
119,15,mE,34,213.7982383119104
119,15,mE,35,210.2844154816192
119,15,mE,36,207.91409493536074
119,15,mE,37,207.87636722446135
119,15,mE,38,209.2852437995025
119,15,mE,39,211.31631938014368
119,15,Rje~,40,213.40894113523362
119,15,Rje~,41,216.3386115923595
119,15,Rje~,42,219.2682820494854
119,15,Rje~,43,222.14669332847055
119,15,Rje~,44,226.3942757176146
119,15,Rje~,45,235.82479202198004
119,15,Rje~,46,248.7351304056722
119,15,Rje~,47,258.5041320692407
119,15,Rje~,48,263.61232175205487
119,15,Rje~,49,263.53943618575096
119,15,da~,50,255.1651039522658
119,15,da~,51,251.20126483556757
119,15,da~,52,246.70164714189568
119,15,da~,53,241.17076606748154
119,15,da~,54,235.28859031539386
119,15,da~,55,229.40221205594582
119,15,da~,56,223.97714708116675
119,15,da~,57,219.7337187072444
119,15,da~,58,216.4092423628643
119,15,da~,59,214.3151534282495
119,15,se,60,213.4084088150114
119,15,se,61,213.45992758657297
119,15,se,62,214.34867477116182
119,15,se,63,215.34451801640628
119,15,se,64,215.29600312797612
119,15,se,65,213.45350595749608
119,15,se,66,209.28532645618094
119,15,se,67,204.80316040683587
119,15,se,68,201.28201226465578
119,15,se,69,199.35091636798268
119,15,pla,70,198.69091327120836
119,15,pla,71,199.2486840413161
119,15,pla,72,200.421707724063
119,15,pla,73,201.83994383009926
119,15,pla,74,203.31997229399275
119,15,pla,75,204.80185336049084
119,15,pla,76,206.26149152193975
119,15,pla,77,207.8235071218052
119,15,pla,78,209.7764239212095
119,15,pla,79,214.0297783842003
119,15,kaR,80,221.6999767335049
119,15,kaR,81,241.9920616404924
119,15,kaR,82,223.6737726107981
119,15,kaR,83,186.62231537504334
119,15,kaR,84,217.76165887299555
119,15,kaR,85,371.5888090546885
119,15,kaR,86,477.42712072122436
119,15,kaR,87,401.5542299623238
119,15,kaR,88,382.14231916564154
119,15,kaR,89,382.14231916564154
112,18,Ra,0,235.68092812714383
112,18,Ra,1,235.68092812714383
112,18,Ra,2,235.68092812714383
112,18,Ra,3,235.68092812714383
112,18,Ra,4,235.6806288667219
112,18,Ra,5,232.60168565658591
112,18,Ra,6,223.31945937029835
112,18,Ra,7,212.74207311788584
112,18,Ra,8,209.0290735600443
112,18,Ra,9,212.1762976184694
112,18,ul,10,219.40238705220972
112,18,ul,11,225.9090189448655
112,18,ul,12,232.99886670650523
112,18,ul,13,239.47675473467874
112,18,ul,14,244.90842726927804
112,18,ul,15,249.12175039997794
112,18,ul,16,252.40900956449192
112,18,ul,17,254.5975196960971
112,18,ul,18,255.60767659060215
112,18,ul,19,255.33007547147173
112,18,n@,20,252.08345884669654
112,18,n@,21,249.48289996568545
112,18,n@,22,246.82289770342146
112,18,n@,23,244.34988641589936
112,18,n@,24,242.0187142392947
112,18,n@,25,239.458168582798
112,18,n@,26,236.07901050744283
112,18,n@,27,231.44400064394986
112,18,n@,28,225.95474763182747
112,18,n@,29,220.38450435884425
112,18,bwa,30,215.4711823091057
112,18,bwa,31,209.41164242637484
112,18,bwa,32,203.53901345534968
112,18,bwa,33,196.66776382998893
112,18,bwa,34,193.15212959735544
112,18,bwa,35,195.97456123603257
112,18,bwa,36,200.40328911907483
112,18,bwa,37,201.85338162788958
112,18,bwa,38,201.59112485238958
112,18,bwa,39,201.16879460285676
112,18,Rje~,40,199.92342751411874
112,18,Rje~,41,202.16003587958724
112,18,Rje~,42,213.24486706199505
112,18,Rje~,43,215.87193412112737
112,18,Rje~,44,213.0125082895494
112,18,Rje~,45,222.8561603684021
112,18,Rje~,46,238.43811285343486
112,18,Rje~,47,255.41240675993225
112,18,Rje~,48,268.06690591289873
112,18,Rje~,49,263.4056441038096
112,18,no,50,249.01151664479178
112,18,no,51,234.63069060786196
112,18,no,52,226.80110323795157
112,18,no,53,219.7680510358054
112,18,no,54,214.39577925322732
112,18,no,55,210.51765113756392
112,18,no,56,208.1687762936916
112,18,no,57,206.53902070371518
112,18,no,58,204.97756662190648
112,18,no,59,203.33905780863847
112,18,ZuR,60,201.93917057643432
112,18,ZuR,61,202.09893846046805
112,18,ZuR,62,203.6274285214318
112,18,ZuR,63,203.6755487052436
112,18,ZuR,64,199.98792924964658
112,18,ZuR,65,193.90616458115133
112,18,ZuR,66,188.81111781280603
112,18,ZuR,67,185.4907200619483
112,18,ZuR,68,182.72269032069522
112,18,ZuR,69,179.714941640936
112,18,dHi,70,178.1113839402256
112,18,dHi,71,182.99685089645726
112,18,dHi,72,195.62325163494472
112,18,dHi,73,211.48384435269966
112,18,dHi,74,227.70098923836014
112,18,dHi,75,243.9181341240204
112,18,dHi,76,260.13527900968074
112,18,dHi,77,276.35242389534113
112,18,dHi,78,292.56956878100146
112,18,dHi,79,308.7867136666619
112,23,Zy,0,238.64125744017744
112,23,Zy,1,238.64125744017744
112,23,Zy,2,238.64125744017744
112,23,Zy,3,238.64125744017744
112,23,Zy,4,238.64125744017744
112,23,Zy,5,238.64125744017744
112,23,Zy,6,238.64125744017744
112,23,Zy,7,238.78023661594594
112,23,Zy,8,239.3937024096464
112,23,Zy,9,239.3632894602135
112,23,lje~,10,233.13807753205833
112,23,lje~,11,235.11282942803462
112,23,lje~,12,242.801727297268
112,23,lje~,13,238.4140268941218
112,23,lje~,14,232.46845094537818
112,23,lje~,15,229.51809462607952
112,23,lje~,16,224.9660815853282
112,23,lje~,17,223.25644341337303
112,23,lje~,18,229.6928188925841
112,23,lje~,19,234.4203140546069
112,23,n@,20,217.2518625747697
112,23,n@,21,212.99285176172955
112,23,n@,22,207.74375942098015
112,23,n@,23,204.35078281907704
112,23,n@,24,203.97120110404632
112,23,n@,25,205.8818630347901
112,23,n@,26,208.79632172713121
