rowLabel	NormalizedTime	F0
_	1	209.10336450511917
_	2	208.85538146468696
_	3	208.60739842425477
_	4	208.3803330489999
_	5	208.278773664809
_	6	208.17721428061807
_	7	208.10281832968718
_	8	208.09633096190635
_	9	208.08984359412548
_	10	208.07926939535645
ma	11	208.06324608860317
ma	12	208.60880234177813
ma	13	209.63812771933323
ma	14	211.08112383384173
ma	15	212.51099078253753
ma	16	213.45231137775278
ma	17	213.7565634039166
ma	18	213.86648929325904
ma	19	213.48067443974213
ma	20	211.46514041156482
Ri	21	208.72934348124056
Ri	22	209.65465133486714
Ri	23	218.54461319484867
Ri	24	234.5460231049453
Ri	25	251.40369019173374
Ri	26	263.9940437037835
Ri	27	273.45972016028514
Ri	28	279.61318839332813
Ri	29	283.1884112522629
Ri	30	282.96088716409736
n@	31	273.5421690919206
n@	32	267.65498858436086
n@	33	261.61736522151045
n@	34	255.98300163847935
n@	35	249.88209603741768
n@	36	243.2812201108641
n@	37	236.31911175242723
n@	38	229.0386376609152
n@	39	221.49635415531034
n@	40	213.84644519862798
li	41	206.31864452961668
li	42	196.26682121070976
li	43	189.27730634998005
li	44	186.08911174611706
li	45	185.13258755663003
li	46	185.66252165352608
li	47	187.01478313005234
li	48	188.13911557444445
li	49	187.5059768894135
li	50	184.84506443148976
Rje~	51	182.33444932234607
Rje~	52	185.4712270668368
Rje~	53	190.44381662047425
Rje~	54	197.89763260929428
Rje~	55	211.6523043521562
Rje~	56	232.66498434441328
Rje~	57	253.71829652203468
Rje~	58	267.76660764139524
Rje~	59	274.4254612066928
Rje~	60	274.30945622074
l@	61	269.87368839086673
l@	62	267.7965473865614
l@	63	266.04260970720446
l@	64	264.06666696467977
l@	65	260.8986318402654
l@	66	256.38091228561944
l@	67	250.43077669399943
l@	68	243.38015719588276
l@	69	235.59876191606338
l@	70	227.61111458047688
wi	71	220.06630357637334
wi	72	214.34872581665294
wi	73	210.27794616678463
wi	74	207.59277307529055
wi	75	206.17954588243114
wi	76	205.28029885962115
wi	77	203.60419198793977
wi	78	200.83930120061873
wi	79	197.04357985045124
wi	80	192.57588662110362
kEnd	81	188.72455517568724
kEnd	82	181.56386760632523
kEnd	83	177.0455746205759
kEnd	84	172.53184609991348
kEnd	85	165.27268980227464
kEnd	86	156.0612377552873
kEnd	87	152.80543602758218
kEnd	88	152.41744834623603
kEnd	89	152.44457382831413
kEnd	90	152.4200297506104
_	91	152.4200297506104
_	92	152.4200297506104
_	93	152.4200297506104
_	94	152.4200297506104
_	95	152.4200297506104
_	96	152.4200297506104
_	97	152.4200297506104
_	98	152.4200297506104
_	99	152.4200297506104
_	100	152.4200297506104
