rowLabel	NormalizedTime	F0
pER	1	360.34834965432634
pER	2	360.34834965432634
pER	3	360.3483496543264
pER	4	360.91231221666317
pER	5	364.86005015302055
pER	6	368.80778808937794
pER	7	372.0938596125697
pER	8	373.7257651028475
pER	9	375.3576705931253
pER	10	380.4869561408897
pER	11	390.279415098636
pER	12	410.28831834839195
pER	13	423.32464223198923
pER	14	431.2746390198771
pER	15	434.0475133298382
pER	16	431.30259258518737
pER	17	425.2687368778302
pER	18	415.2616726179805
pER	19	402.6404397901967
pER	20	389.24126241202026
sOn	21	375.7737670800065
sOn	22	339.04423435633254
sOn	23	302.3147016326587
sOn	24	266.95149269078144
sOn	25	245.698015084358
sOn	26	242.9842663977043
sOn	27	241.36950445561487
sOn	28	233.46420497230227
sOn	29	221.6345867725503
sOn	30	203.96009690381774
nEm	31	187.09383790855048
nEm	32	182.21210500134595
nEm	33	178.95324039336296
nEm	34	176.9498293085066
nEm	35	175.9674329203799
nEm	36	175.24821511741044
nEm	37	173.8244151219224
nEm	38	171.62195377502815
nEm	39	169.57508429060692
nEm	40	168.56397509913086
Rje~	41	168.43876519924316
Rje~	42	170.8947960197331
Rje~	43	175.79058467475483
Rje~	44	181.24869994831755
Rje~	45	188.47472312944134
Rje~	46	199.01616274018957
Rje~	47	204.88658205044698
Rje~	48	205.48258944165863
Rje~	49	203.9770534246677
Rje~	50	197.7157103294839
i	51	188.28105907015532
i	52	187.06522409499837
i	53	185.8493891198414
i	54	184.79246229481862
i	55	183.89444361993
i	56	182.99642494504138
i	57	182.4750490311662
i	58	181.95367311729103
i	59	181.56473289016122
i	60	181.3082283497768
si	61	181.0517238093924
si	62	180.8388520360948
si	63	180.8388520360948
si	64	180.8388520360948
si	65	180.8388520360948
si	66	180.8388520360948
si	67	180.8388520360948
si	68	180.8388520360948
si	69	180.8388520360948
si	70	180.8388520360948
_	71	180.8388520360948
_	72	180.8388520360948
_	73	180.83885203609483
_	74	180.83885203609483
_	75	180.83885203609483
_	76	180.8388520360948
_	77	180.8388520360948
_	78	180.8388520360948
_	79	180.8388520360948
_	80	180.8388520360948
