rowLabel	NormalizedTime	F0
pER	1	136.46443965955973
pER	2	136.46443965955973
pER	3	136.46443965955973
pER	4	136.46443965955973
pER	5	136.46443965955976
pER	6	136.46443965955976
pER	7	136.46443965955976
pER	8	136.46443965955976
pER	9	136.46443965955976
pER	10	136.46443965955976
pER	11	136.46443546196818
pER	12	136.3653189679709
pER	13	135.93515580544553
pER	14	135.16990815007955
pER	15	134.16190649621595
pER	16	133.15196480612005
pER	17	132.61067608410937
pER	18	132.7528883785884
pER	19	133.53858023494962
pER	20	134.8260457897418
sOn	21	137.55013060920592
sOn	22	141.90380529931878
sOn	23	146.6751852847519
sOn	24	151.503777401534
sOn	25	155.9507771042978
sOn	26	157.0643291605294
sOn	27	153.22738887205864
sOn	28	148.7805831411184
sOn	29	145.60475700643005
sOn	30	142.26490953318006
n@	31	137.68743852026768
n@	32	136.11150227382458
n@	33	134.4913495582772
n@	34	132.7198200729422
n@	35	130.7565115917907
n@	36	128.571890194278
n@	37	126.15515919665425
n@	38	123.5903758172063
n@	39	121.0988895732358
n@	40	118.97663338778943
bwa	41	117.52212738022226
bwa	42	117.0920027440251
bwa	43	118.22887006606707
bwa	44	120.14931013555649
bwa	45	121.87235509078597
bwa	46	122.67288114843633
bwa	47	121.93188753388051
bwa	48	120.06503739399716
bwa	49	117.57849920917947
bwa	50	115.30877611015264
Rje~	51	113.95308197805775
Rje~	52	114.84291215285069
Rje~	53	117.32904405743021
Rje~	54	118.49748384884431
Rje~	55	119.82161120158933
Rje~	56	127.19269515213409
Rje~	57	137.23947668622532
Rje~	58	143.9838262377496
Rje~	59	147.06719545072949
Rje~	60	146.78963562794596
da~	61	142.0166941146824
da~	62	138.8030088555005
da~	63	135.39560309139517
da~	64	131.88674897120617
da~	65	128.32291620713602
da~	66	124.9229252904711
da~	67	122.00854213091114
da~	68	119.70639980187933
da~	69	117.99714758307405
da~	70	116.78555211046182
le	71	115.98375650173766
le	72	115.67136944853448
le	73	115.3516392198378
le	74	115.00746894863995
le	75	114.54970271215564
le	76	113.95795604713311
le	77	113.28995586801705
le	78	112.56530233220543
le	79	111.96000880534753
le	80	111.53039772860151
swa	81	111.30850547223723
swa	82	112.46961766024134
swa	83	114.90941431084627
swa	84	117.56482148895742
swa	85	120.22380910859958
swa	86	122.88279672824169
swa	87	125.45877122057114
swa	88	127.42237197094076
swa	89	127.40876826027032
swa	90	124.8120113830528
Re	91	121.68501847697202
Re	92	120.65271769274833
Re	93	120.37463311730117
Re	94	120.31659715480964
Re	95	119.76946349643745
Re	96	118.20490404495695
Re	97	115.27288217337762
Re	98	111.9519636103862
Re	99	109.081611452559
Re	100	107.27424666337878
_	101	106.4860770302383
_	102	106.32436182149969
_	103	106.32417378292878
_	104	106.32417378292878
_	105	106.32417378292878
_	106	106.32417378292878
_	107	106.32417378292878
_	108	106.32417378292878
_	109	106.32417378292878
_	110	106.32417378292877
