rowLabel	NormalizedTime	F0
_	1	183.43640341401994
_	2	183.43640341401996
_	3	183.43640341402
_	4	183.43640341402
_	5	183.43640341402
_	6	183.43640341402
_	7	183.43640341402
_	8	183.43640341402
_	9	183.43640341402
_	10	183.44697145344847
pER	11	183.96260111339967
pER	12	184.64641431925378
pER	13	184.9701563159287
pER	14	183.97575065800174
pER	15	181.66760460311124
pER	16	179.28627908490196
pER	17	178.25495219762263
pER	18	179.2074814798394
pER	19	181.4585353519598
pER	20	184.2824029938258
sOn	21	188.28137971743197
sOn	22	194.1264810722938
sOn	23	200.41368898539713
sOn	24	206.74510755432456
sOn	25	211.3721553676537
sOn	26	209.7624712059575
sOn	27	204.1351208971998
sOn	28	200.67559315623623
sOn	29	202.80977039348036
sOn	30	202.36052522168882
n@	31	195.90393836993542
n@	32	192.26787971623372
n@	33	188.44399746516626
n@	34	184.6111550652802
n@	35	180.95087425586675
n@	36	177.2772073809249
n@	37	173.52252276399966
n@	38	169.71814953060482
n@	39	165.79292660958936
n@	40	162.1179815673794
li	41	158.7833222977327
li	42	153.51795603240805
li	43	149.24233405389992
li	44	146.42081879380146
li	45	145.52225502349927
li	46	146.25578611829633
li	47	147.6599991982558
li	48	148.6051764351556
li	49	147.83611165815816
li	50	143.9570409286026
Rje~	51	137.66037640733506
Rje~	52	131.93803498973992
Rje~	53	139.88750115864428
Rje~	54	155.0492441876051
Rje~	55	159.8387481677234
Rje~	56	158.5908303720974
Rje~	57	165.46298706744784
Rje~	58	175.12534746524156
Rje~	59	180.4741073040077
Rje~	60	183.7069174371429
puR	61	180.15880623783792
puR	62	176.687294128599
puR	63	175.50421933197708
puR	64	174.82855266706576
puR	65	174.15288600215447
puR	66	173.46707291462414
puR	67	171.33330808782054
puR	68	164.91301033772692
puR	69	155.67683434502035
puR	70	148.01762098904476
l9R	71	144.28626183786668
l9R	72	143.67345078909756
l9R	73	143.48700612465848
l9R	74	142.20096327318814
l9R	75	138.2335918018584
l9R	76	134.64892459374204
l9R	77	134.14077230922967
l9R	78	134.33725488485047
l9R	79	134.5337374604713
l9R	80	134.73022003609208
klas	81	134.9267026117129
klas	82	135.54462854977837
klas	83	136.5717663319794
klas	84	137.07911616299776
klas	85	136.29960278380355
klas	86	136.29960278380355
klas	87	136.29960278380355
klas	88	136.29960278380355
klas	89	136.29960278380355
klas	90	136.29960278380355
_	91	136.29960278380355
_	92	136.29960278380355
_	93	136.29960278380355
_	94	136.29960278380355
_	95	136.29960278380355
_	96	136.29960278380355
_	97	136.29960278380355
_	98	136.29960278380355
_	99	136.29960278380355
_	100	136.29960278380355
